Concelho,Densidade
São Roque do Pico,"23,1"
Velas,"44,4"
Vila da Praia da Vitória,"133,5"
Vila do Porto,"58,3"
Vila Franca do Campo,"144,4"
Região Autónoma da Madeira,318
Região Autónoma da Madeira,318
Região Autónoma da Madeira,318
Calheta,"98,2"
Câmara de Lobos,"652,6"
Funchal,"1 376,2"
Machico,"299,7"
Ponta do Sol,"185,1"
Porto Moniz,"28,8"
Porto Santo,120
Ribeira Brava,"190,2"
Santa Cruz,"540,2"
Santana,72
São Vicente,"65,4"
